,text_surronding,Gender
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37506,votre premier roman ? Mais je ne préparais pas de,Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37518,La vérité était autre . Je travaillais très vite :,Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37531,"deux heures par jour à ma table , il me",Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37535,"à ma table , il me suffisait d' une semaine",Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37550,"Lorsque cela était fait , je ne restais pas dans",Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37558,"pas dans la solitude de ma chambre , je ne",Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37561,"solitude de ma chambre , je ne me penchais pas",Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37576,"que sa blancheur défend . J' éteignais mon ordinateur ,",Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37578,"blancheur défend . J' éteignais mon ordinateur , je rejoignais",Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37581,"J' éteignais mon ordinateur , je rejoignais au salon Alice",Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37589,salon Alice et Pauline . Je ne brûlais pas de,Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37601,", Proust ou Joyce mais je jouais avec elles ,",Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37627,aux sports d' hiver » je voudrais . . .,Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37688,championne des 7 familles . Je connaissais parfaitement mes limites,Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37691,familles . Je connaissais parfaitement mes limites et elles définissaient,Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37697,limites et elles définissaient pour moi un territoire de mots,Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37708,suffisant . L' ambition littéraire m' était inconnue . Je,Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37712,littéraire m' était inconnue . Je me savais inapte au,Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37726,"imaginer ou d' observer . Mon seul talent , je",Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37730,". Mon seul talent , je l' exerçais en lisant",Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37737,"exerçais en lisant . Si je racontais , tout tournait",Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37762,proportions hiératiques d' emblème . J' aurais pu passer pour,Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37809,. Les poètes vivants que j' estimais se comptaient sur,Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37823,mains . Tout le reste me faisait ricaner . Par,Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37830,"ricaner . Par prudence , je n' en avouais rien",Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37836,n' en avouais rien . Je me délectais intérieurement des,Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37952,en sommes là . 4 Je ne pensais donc jamais,Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37959,pensais donc jamais écrire . Je n' avais pas de,Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37970,"de le faire puisque , je vous l' ai dit",Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37976,"vous l' ai dit , je ne savais pas .",Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_38005,"auteur , en dépit de lui , contre lui ,",Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_38008,"dépit de lui , contre lui , l' obligeant à",Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_38010,"lui , contre lui , l' obligeant à toucher le",Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_38018,toucher le point même de sa vie où son être,Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_38021,"même de sa vie où son être , irrémédiablement ,",Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_38099,Nihilisme ? . . . Je ne crois pas .,Male
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_26649,". 6 Depuis toujours , Maman et l' enfant font",Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_26730,"Papa s' en va , Maman est là . Oh",Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_26764,"Papa est à Londres , Maman ? – Non ,",Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_26769,"Maman ? – Non , ma chérie , il est",Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_26800,". . – Alors , je pense à toi toute",Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_26803,"Alors , je pense à toi toute la nuit .",Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_26811,"nuit . . . – Moi aussi , ma grande",Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_26814,". – Moi aussi , ma grande fille . .",Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_26869,"vanité , de soucis . Maman est là . –",Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_26876,"là . – Viens , mon amour , ce soir",Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_26888,est pas avec nous . Je te prends avec moi,Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_26889,pas avec nous . Je te prends avec moi dans,Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_26892,. Je te prends avec moi dans le long lit,Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_26912,". . . – Ne t' inquiète pas , maman",Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_26916,"Ne t' inquiète pas , maman , je n' ai",Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_26918,"inquiète pas , maman , je n' ai plus mal",Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_26926,"plus mal du tout , tu sais . Je vais",Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_26929,"tout , tu sais . Je vais bientôt guérir ?",Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_26950,les fils . . . Ta chambre est trop petite,Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_26957,est trop petite pour tous tes jouets . . .,Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_26990,soleil . . . – Je ne veux pas qu',Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_27112,"même à l' Institut , Pauline assiste quelquefois incrédule au",Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_27123,"que les autres jouent devant elle : – Non ,",Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_27135,"non , non ! – Tu vas obéir , s'",Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_27141,"vas obéir , s' il te plaît ! – Hè",Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_27154,"hè , hè ! – Tu as entendu ce que",Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_27173,"hi , hi ! – Tu vas écouter ton père",Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_27176,! – Tu vas écouter ton père ? – Je,Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_27180,écouter ton père ? – Je t' en prie ne,Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_27185,Je t' en prie ne t' en mêle pas !,Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_27208,"ça va mal aller , tu l' as cherchée ,",Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_27209,"va mal aller , tu l' as cherchée , tu",Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_27213,"tu l' as cherchée , tu vas l' avoir !",Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_27215,"as cherchée , tu vas l' avoir ! Pan ,",Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_27231,– Heuheuheuheu ! – Mais tu es fou de la,Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_27235,Mais tu es fou de la frapper comme ça (,Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_27244,( Lalalala ! ) . Tu ne vas pas passer,Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_27249,Tu ne vas pas passer tes nerfs sur elle (,Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_27252,pas passer tes nerfs sur elle ( Lalalalère ! ),Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_27254,tes nerfs sur elle ( Lalalalère ! ) . Mon,Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_27258,"( Lalalalère ! ) . Mon pauvre , il faudrait",Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_27265,", il faudrait apprendre à te contrôler ( Lalalère !",Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_27268,apprendre à te contrôler ( Lalalère ! ) . Mon,Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_27272,( Lalalère ! ) . Mon bébé ! – Heuheuheuheu,Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_27285,! hé ! ) – Ma chérie ! – Heuheuheuheu,Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_27340,trois couples innocemment incestueux . L' enfant accorde gentiment à,Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_27345,L' enfant accorde gentiment à ses parents le droit de,Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_27357,vie comique d' adultes . Elle n' ignore rien de,Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_27399,Que voulez - vous ? Maman a vingt ans et,Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_27421,". . Au matin , elle se glisse dans le",Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_27429,dans le lit conjugal et réclame « sa place »,Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_27431,lit conjugal et réclame « sa place » sur le,Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_27440,le traversin . Puis quand elle a vérifié que l',Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_27447,vérifié que l' espace pour elle était toujours là entre,Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_27458,"deux grands corps chauds , elle se lève et entraîne",Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_27465,lève et entraîne Papa avec elle . Il s' occupe,Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_27480,"sa fille . Et pour elle , il voudrait devenir",Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_27491,amant de rêve idéal qu' elle ne connaîtra pas .,Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_27504,jamais de faire remarquer que son second prénom est celui,Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_27520,au bois dormant . Mais Pauline est sage et lui,Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_27525,Pauline est sage et lui fait remarquer que les Princes,Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_27544,"un air de Tchaïkovski , elle se laisse pourtant inviter",Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_27615,ce sont toujours Maman et l' enfant qui se retrouvent,Female
Forest-Philippe_L-Enfant-eternel_<Maman et l' enfant-1324>_27727,- elle sinon près de l' enfant ? Elle tient,Female
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69153,. . . 4 Si Papa s' endort ainsi devant,Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69167,"matin , c' est qu' il dort mal la nuit",Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69176,nuit . Le whisky ne l' abrutit pas assez .,Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69181,l' abrutit pas assez . Il plonge dans le sommeil,Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69198,"quelques heures , quelque chose le rappelle avec insistance vers",Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69206,insistance vers la surface . Il rêve et s' égare,Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69210,. Il rêve et s' égare dans le noir entre,Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69219,entre songe et réalité . Il ne sait plus de,Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69236,Des pleurs de petite fille lui parviennent à l' oreille,Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69243,à l' oreille . Mais il les a peut -,Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69256,Il faut se lever . Il nage dans la sueur,Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69263,dans la sueur bête de ses rêves qu' encombrent par,Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69275,visages indifférents . Ceux qu' il croise ainsi intervertissent leurs,Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69293,débite ses intrigues codées qui le ramènent dans des paysages,Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69331,"compétition d' escrime à laquelle il prend part , il",Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69335,"laquelle il prend part , il rencontre d' anciens camarades",Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69343,"anciens camarades de classe , s' entretient avec des personnages",Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69350,"avec des personnages inexistants , se trouve confronté à des",Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69363,", d' argent . On lui annonce qu' il doit",Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69366,. On lui annonce qu' il doit passer à nouveau,Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69382,plus de dix ans . Il doit faire une conférence,Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69388,doit faire une conférence et réalise que ses notes sont,Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69390,une conférence et réalise que ses notes sont rédigées dans,Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69398,rédigées dans une langue qu' il ne comprend pas .,Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69403,il ne comprend pas . Il s' embrouille en public,Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69423,semble trouver tout naturel qu' il en fournisse sur -,Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69435,champ la traduction . Puis il marche nu dans la,Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69467,aux sexes bien visibles mais il ne sait plus lequel,Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69487,bête d' avoir ainsi égaré sa peau ! Des cadavres,Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69501,d' une boucherie . On lui demande de les identifier,Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69516,blouse blanche tachée de rouge le réprimande et lui demande,Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69519,de rouge le réprimande et lui demande si son corps,Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69522,réprimande et lui demande si son corps à lui est,Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69525,demande si son corps à lui est bien consigné .,Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69533,consigné . On exige de lui qu' il produise un,Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69535,"On exige de lui qu' il produise un ticket ,",Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69554,le numéro de fabrique . Il fouille ses poches inexistantes,Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69556,de fabrique . Il fouille ses poches inexistantes . Plus,Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69582,amas grotesque de membres . Il a l' impression d',Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69611,. On s' adresse à lui . Il doit donner,Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69613,s' adresse à lui . Il doit donner la réplique,Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69632,a pris la peine de lui expliquer l' histoire embrouillée,Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69638,expliquer l' histoire embrouillée où il doit intervenir . C',Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69684,. . Le récit qu' il suit dans la nuit,Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69734,. L' étonnant est qu' il sait très bien où,Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69739,il sait très bien où le mènent toutes ces aventures,Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69748,"aventures de désordre . Derrière le rêveur , un autre",Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69772,effacer . Une eau froide l' entoure . Elle grimpe,Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69779,". Elle grimpe autour de ses jambes , entoure ses",Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69783,"de ses jambes , entoure ses hanches . La mer",Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69790,. La mer monte . Il réalise qu' il tient,Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69793,monte . Il réalise qu' il tient dans ses bras,Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69796,réalise qu' il tient dans ses bras le corps doux,Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69811,"fille . Avec elle , il ne parviendra pas à",Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69818,parviendra pas à nager . Ses chevilles sont prises dans,Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69829,gel de la vase . Il tente de l' abriter,Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69835,tente de l' abriter contre son épaule . Elle dort,Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69851,"pleure , elle gémit . Il se réveille en sursaut",Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69906,". Les talk - shows l' amusent , surtout les",Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69918,". Depuis quelque temps , il a une prédilection pour",Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69970,n' en croit plus ni ses yeux ni ses oreilles,Male
Forest-Philippe_L-Enfant-eternel_<Papa-3441>_69973,plus ni ses yeux ni ses oreilles . . .,Male
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_46942,. J' étais allé chercher Pauline chez sa nourrice .,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_46944,étais allé chercher Pauline chez sa nourrice . Nous descendions,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_46966,", je m' aperçus que Pauline n' était plus près",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_46974,plus près de moi . Elle m' avait laissé prendre,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_46989,de mètres d' avance . Elle jouait à se perdre,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_47003,et indifférente des passants qui la masquaient à mes yeux,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_47033,"personne ne prête attention à elle , elle criait calmement",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_47035,"prête attention à elle , elle criait calmement : «",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_47054,"chaque syllabe , donnant à sa voix une sorte de",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_47068,de l' écho . Puis elle m' a rejoint et,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_47073,elle m' a rejoint et elle a souri . Elle,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_47077,et elle a souri . Elle se préparait – pour,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_47137,". . – Maman , je voudrais mieux aller au",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_47158,"Wendy , Clochette seraient avec moi ! – Tu voudrais",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_47161,seraient avec moi ! – Tu voudrais vraiment cela ?,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_47171,"– C' est facile , tu sais : on pense",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_47259,la vérité est qu' entre son troisième et son quatrième,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_47262,"qu' entre son troisième et son quatrième anniversaire , Pauline",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_47266,"et son quatrième anniversaire , Pauline acquiert la maîtrise presque",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_47273,la maîtrise presque parfaite de ses mots . Ceux -,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_47294,et l' accent avec lequel elle les prononce . La,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_47365,"elles ont été entendues . Pauline commence doucement , lorsqu'",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_47370,"Pauline commence doucement , lorsqu' elle s' adresse aux autres",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_47408,"ou pour une autre , elle juge préférable de tenir",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_47503,la bêtise de croire que Pauline a parlé mieux et,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_47540,avec exigence et amour . Sa langue se nourrit de,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_47548,nourrit de la nôtre . Elle se sert de nos,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_47566,expressions familières dont j' abuse lui appartiennent désormais . Lorsque,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_47582,l' impression étrange d' entendre sa voix à l' intérieur,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_47595,. Je contrefais malgré moi son accent . Je la,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_47599,moi son accent . Je la cite m' imitant .,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_47605,cite m' imitant . Je l' imite me citant .,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_47622,un peu de ce qu' elle a pris et transformé,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_47632,dans les propos que nous lui tenions . Dans sa,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_47636,nous lui tenions . Dans sa langue d' adulte au,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_47715,ne pas se corriger . Son parler d' enfant nourrit,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_47725,notre parler d' adulte . Elle est une enfant qui,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_47727,d' adulte . Elle est une enfant qui parle la,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_47729,. Elle est une enfant qui parle la langue de,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_47745,adultes parlant la langue d' une enfant . Cela fait,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_47797,cependant que la conscience de sa maladie n' est pas,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_47808,à la correction avec laquelle Pauline utilise les temps grammaticaux,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_47814,utilise les temps grammaticaux et manie leur concordance . D',Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_47821,"concordance . D' instinct , elle est précise . Une",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_47866,ce qui sera » . Elle connaît même les sous,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_47893,ce qui serait » . Elle est capable d' imaginer,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_47912,"subjonctif , comment en ignorerait - elle les règles alors",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_47958,", par exemple , « je guéris » se dit",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_47965,"» se dit « que je guérisse » , à",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_48013,les unes les autres . Pauline parle . Elle est,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_48016,autres . Pauline parle . Elle est désormais dans le,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_48032,bifurquent et rayonnent autour d' elle dans toutes les directions,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_48141,"qui n' appartient qu' à elle , un adverbe inventé",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_48165,"« Entement » , dit Pauline , chaque fois qu'",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_48170,"Pauline , chaque fois qu' elle utilise le conditionnel ,",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_48176,"utilise le conditionnel , qu' elle évoque ce qui pourrait",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_48206,"distincts mais qui , pour elle , confusément , n'",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_48261,"Bien sûr , ce sont tes grands - pères et",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_48295,"tantes . . . – Moi aussi , j' ai",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_48298,". – Moi aussi , j' ai une sœur !",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-2266>_48307,"! – Ah non , tu aurais une sœur si",Female
Forest-Philippe_L-Enfant-eternel_<J'-5211>_102544,la chambre de Pauline . J' ai voulu lui expliquer,Male
Forest-Philippe_L-Enfant-eternel_<J'-5211>_102550,ai voulu lui expliquer à mon tour ce qui l',Male
Forest-Philippe_L-Enfant-eternel_<J'-5211>_102557,ce qui l' attendait . Je ne voulais pas la,Male
Forest-Philippe_L-Enfant-eternel_<J'-5211>_102567,laisser dans l' ignorance . Je voulais qu' elle comprenne,Male
Forest-Philippe_L-Enfant-eternel_<J'-5211>_102623,quelques ballons en plastique . J' en ai gonflé un,Male
Forest-Philippe_L-Enfant-eternel_<J'-5211>_102629,"en ai gonflé un , je lui ai montré comment",Male
Forest-Philippe_L-Enfant-eternel_<J'-5211>_102645,la sphère de couleur . Je lui ai dit qu',Male
Forest-Philippe_L-Enfant-eternel_<J'-5211>_102744,libérer du mal . Pauline m' écoutait sans rien dire,Male
Forest-Philippe_L-Enfant-eternel_<J'-5211>_102751,"sans rien dire . Quand j' ai eu fini ,",Male
Forest-Philippe_L-Enfant-eternel_<J'-5211>_102777,"l' autre ballon ! Elle m' avait parfaitement compris ,",Male
Forest-Philippe_L-Enfant-eternel_<J'-5211>_102788,savait très exactement ce que je souhaitais lui entendre dire,Male
Forest-Philippe_L-Enfant-eternel_<J'-5211>_102802,", elle avait deviné où je voulais en venir .",Male
Forest-Philippe_L-Enfant-eternel_<J'-5211>_102808,voulais en venir . Elle me précédait depuis longtemps .,Male
Forest-Philippe_L-Enfant-eternel_<J'-5211>_102821,le bloc serait matinal . J' ai embrassé Pauline et,Male
Forest-Philippe_L-Enfant-eternel_<J'-5211>_102828,embrassé Pauline et Alice . Je les ai laissées dans,Male
Forest-Philippe_L-Enfant-eternel_<J'-5211>_102837,dans la chambre double . J' ai pris l' ascenseur,Male
